username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
ahmadi_ahmadii,https://x.com/ahmadi_ahmadii,bəmalu,,,21.0,155.0,173.0,March 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,1,0,1,persian personal account
0qcgdh3bdamfozf,https://x.com/0qcgdh3bdamfozf,هيثم عبده نعمان الحجري,,,80.0,218.0,3761.0,September 2021,1,0.3341,0.3328,0.3341,0.3331,0.6659,,,,
_soommiii_,https://x.com/_soommiii_,soosoo~,,,27.0,85.0,79.0,November 2021,1,0.3341,0.3328,0.3341,0.3331,0.6659,,,,
akbarghasemi62,https://x.com/akbarghasemi62,Akbar Ghasemi,,,28.0,122.0,537.0,June 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,,,,
ahimsaaaa,https://x.com/ahimsaaaa,Ahimsa آهیمسا,,,12.0,61.0,128.0,September 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,,,,
acetaminophen69,https://x.com/acetaminophen69,Acetaminophen,,,2.0,54.0,108.0,June 2025,2,0.335,0.3316,0.3334,0.335,0.665,,,,
aecp_faecp,https://x.com/aecp_faecp,AECP,,,3686.0,287.0,5127.0,February 2016,1,0.3358,0.335,0.3358,0.3292,0.6642,,,,
aboutparhammhb,https://x.com/aboutparhammhb,P4rhumm,,G town,1543.0,498.0,5356.0,December 2021,0,0.336,0.336,0.3354,0.3286,0.664,,,,
agha_xavier2,https://x.com/agha_xavier2,خاویر پرز دکوئیار R.I.P,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,روی در دیوار هجران,5940.0,665.0,1303.0,June 2018,1,0.3366,0.3342,0.3366,0.3292,0.6634,,,,
alparsai,https://x.com/alparsai,Ali Parsai,"Soyez réalistes, demandez l'impossible.",Planet Earth,377.0,958.0,5809.0,November 2016,0,0.337,0.337,0.3266,0.3364,0.663,,,,
_ali_najjar_,https://x.com/_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,کهکشان راه شیری ، دست چپ,770.0,890.0,4161.0,December 2018,0,0.337,0.337,0.3266,0.3364,0.663,,,,
affgnl,https://x.com/affgnl,AFFG,Great players need a Great Management,"Gelderland, Nederland",150.0,101.0,699.0,January 2017,0,0.3371,0.3371,0.3293,0.3337,0.6629,,,,
alecknowsads,https://x.com/alecknowsads,Alec Lopez,Head of Production  @markhamyard,"St Petersburg, FL",81.0,271.0,941.0,September 2015,0,0.3371,0.3371,0.3293,0.3337,0.6629,,,,
_angry_n___,https://x.com/_angry_n___,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,!,149.0,160.0,4797.0,October 2015,0,0.3371,0.3371,0.3293,0.3337,0.6629,,,,
9rcl7at9wzomubs,https://x.com/9rcl7at9wzomubs,Мақсат Асылбеков,,,12.0,65.0,6.0,April 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,,,,
